any;comarca o Aran;sexe;nivell de formació assolit;concepte;estat;valor
2021;Alt Camp;homes;analfabetisme;població de 15 anys o més;;27
2021;Alt Camp;homes;educació primària incompleta;població de 15 anys o més;;567
2021;Alt Camp;homes;educació primària;població de 15 anys o més;;2064
2021;Alt Camp;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;7395
2021;Alt Camp;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;1932
2021;Alt Camp;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;2361
2021;Alt Camp;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;2265
2021;Alt Camp;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;1302
2021;Alt Camp;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;1035
2021;Alt Camp;homes;màsters universitaris i similars;població de 15 anys o més;;327
2021;Alt Camp;homes;doctorat universitari;població de 15 anys o més;;102
2021;Alt Camp;homes;total;població de 15 anys o més;;19371
2021;Alt Camp;dones;analfabetisme;població de 15 anys o més;;60
2021;Alt Camp;dones;educació primària incompleta;població de 15 anys o més;;783
2021;Alt Camp;dones;educació primària;població de 15 anys o més;;2367
2021;Alt Camp;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;6132
2021;Alt Camp;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;1791
2021;Alt Camp;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;2070
2021;Alt Camp;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;1848
2021;Alt Camp;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;1920
2021;Alt Camp;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;1257
2021;Alt Camp;dones;màsters universitaris i similars;població de 15 anys o més;;489
2021;Alt Camp;dones;doctorat universitari;població de 15 anys o més;;120
2021;Alt Camp;dones;total;població de 15 anys o més;;18837
2021;Alt Camp;total;analfabetisme;població de 15 anys o més;;87
2021;Alt Camp;total;educació primària incompleta;població de 15 anys o més;;1350
2021;Alt Camp;total;educació primària;població de 15 anys o més;;4428
2021;Alt Camp;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;13527
2021;Alt Camp;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;3720
