Formació d'adults. Centres, personal docent i alumnes per sexe i grups d'edat. Comarques i Aran;;;;;;;;;;;;;;
Curs 2019/2020;;;;;;;;;;;;;;
Font: Departament d'Educació. Servei d'indicadors i estadística.;;;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15741&t=202000;;;;;;;;;;;;;;
comarca;Centres;Personal docent;Alumnes (homes). 16-24;Alumnes (homes). 25-64;Alumnes (homes). 65 i més;Alumnes (homes). Total;Alumnes (dones). 16-24;Alumnes (dones). 25-64;Alumnes (dones). 65 i més;Alumnes (dones). Total;Alumnes (total). 16-24;Alumnes (total). 25-64;Alumnes (total). 65 i més;Alumnes (total). Total
Alt Camp;1;7;24;45;11;80;20;125;38;183;44;170;49;263
Alt Empordà;4;33;183;557;18;758;84;288;26;398;267;845;44;1156
Alt Penedès;3;16;58;62;16;136;36;103;29;168;94;165;45;304
Alt Urgell;1;6;23;80;27;130;24;188;30;242;47;268;57;372
Alta Ribagorça;1;1;1;2;0;3;5;13;0;18;6;15;0;21
Anoia;1;4;34;42;4;80;21;35;1;57;55;77;5;137
Aran;1;3;7;57;3;67;6;129;8;143;13;186;11;210
Bages;3;34;95;427;33;555;64;362;61;487;159;789;94;1042
Baix Camp;4;39;207;344;52;603;174;645;62;881;381;989;114;1484
Baix Ebre;2;13;61;75;25;161;52;222;42;316;113;297;67;477
Baix Empordà;5;34;151;453;80;684;114;626;133;873;265;1079;213;1557
Baix Llobregat;19;193;1042;3788;374;5204;711;3478;700;4889;1753;7266;1074;10093
Baix Penedès;2;13;67;62;9;138;64;167;20;251;131;229;29;389
Barcelonès;49;488;2267;3799;1135;7201;1903;8044;2352;12299;4170;11843;3487;19500
Berguedà;1;5;31;46;4;81;15;65;5;85;46;111;9;166
Cerdanya;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conca de Barberà;1;4;13;22;6;41;11;63;10;84;24;85;16;125
Garraf;3;28;147;218;32;397;105;472;57;634;252;690;89;1031
Garrigues;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Garrotxa;1;12;138;202;18;358;64;270;38;372;202;472;56;730
Gironès;4;52;513;544;27;1084;301;975;51;1327;814;1519;78;2411
Maresme;14;94;467;1123;120;1710;351;1730;251;2332;818;2853;371;4042
Moianès;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montsià;1;6;49;59;20;128;23;198;24;245;72;257;44;373
Noguera;1;4;35;95;11;141;18;170;39;227;53;265;50;368
Osona;6;44;167;380;36;583;113;480;74;667;280;860;110;1250
Pallars Jussà;1;3;8;42;18;68;11;105;13;129;19;147;31;197
Pallars Sobirà;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pla d'Urgell;1;9;43;92;52;187;38;327;92;457;81;419;144;644
Pla de l'Estany;1;8;82;109;15;206;44;211;16;271;126;320;31;477
Priorat;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ribera d'Ebre;1;7;41;121;16;178;12;140;14;166;53;261;30;344
Ripollès;1;3;8;45;9;62;7;66;6;79;15;111;15;141
Segarra;1;4;27;72;9;108;13;115;15;143;40;187;24;251
Segrià;4;43;200;995;104;1299;82;522;175;779;282;1517;279;2078
Selva;5;40;228;336;31;595;157;636;49;842;385;972;80;1437
Solsonès;1;7;22;73;12;107;20;135;27;182;42;208;39;289
Tarragonès;7;74;341;737;120;1198;267;824;137;1228;608;1561;257;2426
Terra Alta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urgell;1;6;25;87;30;142;29;189;57;275;54;276;87;417
Vallès Occidental;19;169;945;1602;428;2975;743;3442;920;5105;1688;5044;1348;8080
Vallès Oriental;16;134;1001;1831;170;3002;370;1741;276;2387;1371;3572;446;5389
Catalunya;187;1640;8751;18624;3075;30450;6072;27301;5848;39221;14823;45925;8923;69671
